HPL-N 125w/MLL 160w,NLF 480,0.00,700.00,2.50,687.50,5.00,675.00,10.00,600.00,30.00,200.00,35.00,100.00,37.50,75.00,42.50,50.00,45.00,25.00,47.50,12.50,50.00,6.25,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MLL 250w,NLF 480,0.00,426.00,5.00,420.00,7.50,412.50,10.00,405.00,12.50,390.00,20.00,330.00,30.00,225.00,40.00,127.50,50.00,45.00,55.00,22.50,60.00,15.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
