ARQUIVO  DESCRICAO                                                                 ROTINAS
K58C     Rotina que realiza o offset de um objeto trocando a camada                C:OFFCHG
K59C     Rotina que divide a tela com vports                                       C:DBLSCR / C:SISCR
K5AC(**) Rotina para extender uma entidade ate um objeto de um bloco               C:BEXTEND (incompleta)
K5BC     Rotinas p/manipular objetos p/calculo de iluminacao                       IL
K5CC     Rotina p/ dimensionamento de calha                                        C:CCALHA
K5DC     Rotina para desenho de indicadores com legenda                            C:I_INDIC / C:I_LEGENDA
K5EC     Rotina p/ dimensionamento de caixa de passagem                            C:CCAIXA
K5FC     Rotina que renomeia os nomes dos simbolos com mais de 20 caracteres       C:SNAME
K60C(*)  Rotina de descarrega dos arquivos xrefs relacionados ao desenho           C:XFUNLOAD
K61C(*)  Rotina para eliminacao de todos os xrefs relacionados ao desenho          C:XFPRUNE
K62C(*)  Rotina de ajuste dos caminhos dos arquivos xrefs nao resolvidos           C:XFPATH
K63C(*)  Rotina que uni dois segmentos de polilinhas                               C:UNIPLINE (obsoleto)
K64C     Rotina que uni qualque combinacao de linhas e polilinhas                  C:UNILINE
K65C     Rotina para atualizacao da tabela de revisoes e atributos da margem       UPDREV / UPDDAT
K66C     Rotina de levantamento do numero de ocorrencias de um bloco no desenho    C:NUMBLK
K67C(*)  Rotina de auto-carregamento das funcoes                                   AUTOLOAD (obsoleto)
K68C     Rotina p/ insercao de tubos ponta e bolsa                                 C:ESGTB
K69C     Rotina p/ insercao de conexoes de esgoto                                  C:ESGIN
K6AC     Rotina de insercao de pontos para luminarias                              C:UINSLUM
K6BC     Rotina para desenho de eletrodutos em instalacoes eletricas               C:EDT
K6CC     Funcoes utilitarias manipulacao de Extended Entity Data                   EED
K6DC     Rotina que transforma um grupo de entidades em uma calha                  C:EMKCLH
K6EC     Rotina que transformacao um grupo de entidades em um objeto eletrico      C:EMKOBJ
K6FC     Rotina que copia os valores dos atributos de um bloco a outros            C:COPYATTR
K70C(*)  Rotina p/ desenho parametrizado da barra de neutro                        C:BARRANE
K71C(**) Rotina p/ insercao de blocos de esgoto c/quebra da linha                  C:BRKINS
K72C(**) Rotina p/ desenho do diagrama unifilar                                    C:DIAGELET
K73C     Rotina p/ tracado da tubulacao hidraulica                                 C:HTUB
K74C(**) Rotina p/ levantamento de material                                        C:LISMAT
K75C     Rotina p/ criacao das vistas isometricas do desenho                       C:ISOBLK
K76C     Rotina de verificacao de erro na insercao dos eletrodutos de eletrica     C:EVERDT / C:RESTDT
K77C     Rotinas p/ ajuste dos arquivos de eletrica (fiacao)                       C:EADJUST
K78C     Rotinas p/ insercao de blocos com elevacao                                C:HINSERT
K79C     Rotina p/ criacao para criar detalhes da planta baixa                     C:DETBLK
K7AC     Rotina p/ insercao de colunas de esgoto                                   C:CD / C:CTD / C:CTTD
K7BC     Rotina que modifica a etapa do projeto                                    C:CHGMARGEM
K7CC     Rotina de plotagem automatica                                             C:AUTOPLOT
K7DC     Rotina para trocar um conjunto de blocos por um outro selecionado         C:CHGBLOCK
K7EC     Ajusta origem e destino para um eletroduto                                C:ECHDT
K7FC     Totaliza a potencia dos quadros                                           C:EQPOT
K80C     Rotina p/ transformacao de entidades em objeto eletrico                   C:EINSOBJ
K81C     Conjunto de rotinas que redefinem os comandos de gravacao                 C:SAVE / C:QSAVE / C:END / C:QUIT
K82C     Conjunto de rotinas para desenho de ambientes                             C:AMBIENTE_1P / C:AMBIENTE_2P / C:AMBIENTE_3P
K83C     Rotina para transmissao de um arquivo para a fila de plotagem             C:FPLOTER
K84C     Rotina para desenho de bonecas                                            C:BONECA
K85C     Rotina de gerenciamento de detalhes padronizados                          C:DDGDET
K86C     Conjunto de funcoes para manipulacao de arquivos de dados                 fread/fwrite
K87C     Rotinas para apagar, copiar e mover fiacao                                C:EDELFIOS / C:ECOPFIOS / C:EMOVFIOS / C:ROTFIOS
K88C(**) Rotina de listagem dos objetos eletricos                                  C:ELIST
K89C     Rotina para trocar a ordem de processamento dos interruptores three-way   C:EORDEM
K8AC     Rotinas de recompilacao dos menus                                         C:MR / C:MRA
K8BC     Rotina para desenho de retangulos                                         C:RECTANG
K8CC     Rotina de modificacao das propriedades dos objetos                        C:AI_PROPCHK
K8DC     Rotina para preenchimento de tabelas                                      C:TBTEXT
K8EC     Rotina para construir tabelas                                             C:TBCONS
K8FC     Rotina para modificar a cor das entidades dos blocos                      C:COLBLK
K90C     Rotina de edicao que mistura o comando de copia e rotacao em um unico     C:COPYROT
K91C     Rotina que explode todos os blocos visiveis ou invisiveis de uma camada   C:BLEXPL
K92C     Rotina que permite a substituicao de solidos por hachuras                 C:SOL2HAT
K93C     Rotina de manipulacao de xref                                             C:XFLOAD / C:XFUNLOAD / C:XFRELOAD / C:XFPRUNE / C:XFPATH / C:XFSPLIT / C:XFIN / C:XFOUT / C:XFFIX
K94C     Rotinas para manipulacao de arquivos de configuracao                      READCFGFILE
K95C     Rotina de verificacao da consistencia nas ligacao dos eletrodutos         C:ACI_ECHKDT
K96C     Rotina para insercao de pontos com rotacao (=0)                           C:INSER0
K97C     Rotina para desenho de elipse fornecendo a largura e metade da altura     C:AI_ELLIPSE
:
:
:
K9BC     Rotina para tracado de eletrocalha                                        C:ELETROCALHA
K9CC     Rotina para padronizacao dos detalhes (automatico/semi-automatico)        C:DETAJUSTA / C:DETTROCACAMADA
K9DC     Rotina para converter uma SPLINE em PLYNE                                 C:SP2PL
K9EC     Rotina para impressao automatica do arquivo de detalhes                   C:PLOTDET
:
:
:
KA0C     Rotina para cotar pontos em relacao a dois eixos                          C:COTAEIXO
